
OP[3:0]	功能名称	描述	实现要点	类别
0000	加法 (ADD)	A + B	使用你已有的 8 位加法器	算术
0001	减法 (SUB)	A - B	使用加减法器，Sub=1	算术
0010	递增 (INC)	A + 1	加法器 B 输入接常数 1	算术
0011	递减 (DEC)	A - 1	减法器 B 输入接常数 1，或加法器加 255	算术
0100	按位与 (AND)	A & B	8 个与门	逻辑
0101	按位或 (OR)	A | B	8 个或门	逻辑
0110	按位异或 (XOR)	A ^ B	8 个异或门	逻辑
0111	按位取反 (NOT)	~A	8 个非门（或异或门与全 1 异或）	逻辑
1000	逻辑左移 (LSL)	A << 1，最低位补 0	硬连线：S[0]=0，S[i]=A[i-1]（i≥1）	移位
1001	逻辑右移 (LSR)	A >> 1，最高位补 0	硬连线：S[7]=0，S[i]=A[i+1]（i≤6）	移位
1010	算术右移 (ASR)	A >>> 1，最高位保持符号位	硬连线：S[7]=A[7]，S[i]=A[i+1]（i≤6）	移位
1011	相等比较 (CMPEQ)	若 A == B，输出全 1；否则全 0	用异或门 + 或非门，或直接输出标志位（1 位）	比较
1100	无符号小于 (CMPLTU)	若 A < B（无符号），输出全 1	用减法器借位：Cout=0 表示 A<B，扩展为 8 位	比较
1101	无符号大于 (CMPGTU)	若 A > B（无符号），输出全 1	用 (A>=B)且(A!=B) 组合，或直接用比较器	比较
1110	直通 A (PASSA)	输出 A	直接连线	特殊
1111	清零 (CLR)	输出全 0
